Designator,Mid X,Mid Y,Layer,Rotation
C1,171.200000,-90.480000,top,0.000000
C2,171.200000,-93.490000,top,0.000000
C3,157.665000,-106.500000,top,0.000000
C4,157.665000,-109.010000,top,0.000000
C5,144.990000,-106.500000,top,0.000000
C6,171.200000,-96.500000,top,0.000000
C7,144.990000,-109.010000,top,0.000000
C8,149.815000,-113.500000,top,0.000000
C9,149.815000,-116.010000,top,0.000000
C10,171.200000,-99.510000,top,0.000000
C11,171.062500,-101.695000,top,0.000000
D1,175.500000,-119.500000,top,0.000000
D2,138.300000,-108.500000,top,0.000000
J1,135.610000,-118.600000,top,0.000000
J2,131.160000,-103.970000,top,90.000000
J3,181.810000,-110.040000,top,270.000000
J4,128.540000,-92.990000,top,90.000000
Q1,181.032500,-91.220000,top,0.000000
Q2,181.030000,-95.650000,top,0.000000
R1,161.675000,-106.500000,top,0.000000
R2,161.675000,-109.010000,top,0.000000
R3,149.000000,-106.500000,top,0.000000
R4,149.000000,-109.010000,top,0.000000
R5,153.825000,-113.500000,top,0.000000
R6,153.825000,-116.010000,top,0.000000
R7,165.685000,-106.500000,top,0.000000
R8,165.685000,-109.010000,top,0.000000
R9,153.010000,-106.500000,top,0.000000
R10,153.010000,-109.010000,top,0.000000
SW1,178.000000,-79.000000,top,0.000000
U1,176.000000,-91.375000,top,0.000000
U2,155.140000,-94.600000,top,0.000000
U3,131.550000,-79.750000,top,0.000000
U4,165.200000,-117.200000,top,0.000000
U5,176.000000,-96.000000,top,0.000000
U6,159.500000,-115.000000,top,0.000000
U7,176.000000,-100.625000,top,0.000000
